Key,SourceString,Comment
char_vo_fallendruid_attack_flybug,It's safe here.,
char_vo_fallendruid_attack_spike,This place shall stand!,
char_vo_fallendruid_attack_tendril,Nature will survive!,
char_vo_fallendruid_attack_thorn_sphere,"Out with you, Ruin!",
char_vo_fallendruid_die,"I have... failed",
char_vo_shadesphere_attack_1,I'll change you!,
char_vo_shadesphere_attack_2,Do not resist me!,
char_vo_shadesphere_damaged_1,It's still... me...,
char_vo_shadesphere_damaged_2,Why did you...?,
char_vo_shadesphere_die,You changed... me?,
char_vo_shadesphere_idle_1,What do you wish to be?,
char_vo_shadesphere_idle_2,Come to me!,
char_vo_golemmaker_idle_explain_1,I create essence which resists the ruin.,
char_vo_golemmaker_idle_mindlessly_1,"Knowledge is Lost, All is Lost.",
char_vo_golemmaker_idle_mindlessly_2,All is Lost.,
char_vo_golemmaker_idle_tries_to_remember,Your words remind me of something.,
char_vo_flybug_attack_1,Huh! Surprised?,
char_vo_flybug_attack_2,Take this!,
char_vo_ghostarmor_idle_1,We keep the Wall.,
char_vo_ghostarmor_idle_2,Follow the rules!,
char_vo_ghostarmor_attack_1,You shall perish!,
char_vo_ghostarmor_attack_2,For justice!,
char_vo_ghostarmor_attack_fall,Death to the outlaw!,
char_vo_ghostarmor_damaged_1,Just a scratch.,
char_vo_ghostarmor_damaged_2,You... can't.,
char_vo_ghostarmor__die,I... don't...,
char_vo_ghosthelmet_attack_1,Aaaaaaargh!,
char_vo_ghosthelmet_attack_2,Chaaaaaarge!,
char_vo_ghosthelmet_damaged_1,I'll need a blacksmith!,
char_vo_ghosthelmet_damaged_2,Send someone for a hammer!,
char_vo_ghosthelmet_idle_1,Use your head... or mine!,
char_vo_ghosthelmet_idle_2,Let's head east!,
char_vo_ghosthelmet_die,Be right back!,
char_vo_shade_attack_1,Join me!,
char_vo_shade_attack_2,You shall die too!,
char_vo_shade_damaged_1,Is this the end?,
char_vo_shade_damaged_2,Pain...,
char_vo_shade_die,Death... again?!,
char_vo_shade_idle_1,I can't rest.,
char_vo_shade_idle_2,Death is not peace.,
char_vo_primitivefishy_attack_1,Srrrr!,
char_vo_primitivefishy_attack_long_1,Hurray!,
char_vo_primitivefishy_attack_long_2,Flyyyyyyy!,
char_vo_primitivefishy_damaged_1,Uuush!,
char_vo_primitivefishy_damaged_2,Shish!,
char_vo_primitivefishy_die,Fishy leaves.,
char_vo_primitivefishy_idle_1,I need some fish!,
char_vo_primitivefishy_idle_2,Did you hear that?,
char_vo_maintainer_idle_1,At your service.,
char_vo_maintainer_idle_2,Your order?,
char_vo_maintainer_attack_1,Dinner is served!,
char_vo_maintainer_attack_2,Now it's clean!,
char_vo_maintainer_damaged_1,I'll need to be repaired.,
char_vo_maintainer_damaged_2,I still serve.,
char_vo_maintainer_die,I'll need... replacement.,
char_vo_koboldchef_idle_01,Too hot!,
char_vo_koboldchef_idle_02,It needs more salt!,
char_vo_koboldchef_idle_03,It will be delicious.,
char_vo_koboldchef_idle_04,Hmm...,
char_vo_maintainer_miniboss_attack_meteor,I'm above!,
char_vo_maintainer_miniboss_attack_spawn_enemy,"Order, order, order!",
char_vo_maintainer_miniboss_die,I can't... I was... above.,
char_vo_maintainer_miniboss_attack_1,This is my order!,
char_vo_maintainer_miniboss_attack_2,I\'ll reorganize!,
char_vo_maintainer_miniboss_damaged_1,I can fix this,
char_vo_maintainer_miniboss_damaged_2,Don\'t do that again!,
char_vo_gatekeeper_attack_aimed,Avoid these!,
char_vo_gatekeeper_attack_aimed_phase_2,Watch out where you bounce to!,
char_vo_gatekeeper_attack_electric_bubbles,Attention to the heights!,
char_vo_gatekeeper_attack_electric_bubbles_phase_2,Attention to the heights again!,
char_vo_gatekeeper_attack_meteors,Watch out for your head!,
char_vo_gatekeeper_attack_shield,Do you really think you are worthy?,
char_vo_dwarvenstatue_attack_axe_point,I keep Ruin,""
char_vo_dwarvenstatue_attack_axe_strike_down,We are above the Law!,""
char_vo_dwarvenstatue_attack_meteor,I can take more!,""
char_vo_dwarvenstatue_shield_knock,I hold it back!,""
char_vo_dwarvenstatue_die,I won't move... again,""
char_vo_teachy_idle_book_up_0,Ehmm,
char_vo_teachy_idle_book_up_1,Humm,
char_vo_teachy_idle_book_up_2,Hemm,
char_vo_teachy_idle_book_up_3,Ahm,
char_vo_teachy_idle_book_down_0,Walking ball?,
char_vo_teachy_idle_book_down_1,You?,
char_vo_teachy_idle_book_down_2,Do you exist outside of my mind?,
char_vo_teachy_idle_book_down_3,"Ehm, what?",
char_vo_teachy_idle_humming_0,"Hmmm-hmmm-hmm",
char_vo_teachy_idle_humming_1,"Ehmm-hmmm-uhmm",
char_vo_teachy_idle_humming_2,"Umm-huhummm",
char_vo_teachy_idle_humming_speaking_long_0,"I am, therefore I think!",
char_vo_teachy_idle_humming_speaking_long_1,"I think... I am...",
char_vo_teachy_idle_humming_speaking_long_2,"The unexamined life is not worth living!",
char_vo_teachy_idle_humming_speaking_long_3,"The mind is furnished with ideas by a drunk upholsterer...",
char_vo_teachy_idle_humming_speaking_short_0,"Tic-tac",
char_vo_teachy_idle_humming_speaking_short_1,"To be...",
char_vo_teachy_idle_humming_speaking_short_2,"Weird",
char_vo_lory_idle_croon,Croon,
char_vo_lory_idle_humming_0,Ohh,
char_vo_lory_idle_humming_1,Hmmm,
char_vo_lory_idle_humming_2,Ommm,
char_vo_lory_idle_humming_3,Auch,
char_vo_fishy_idle_hiss,Hissing,
char_vo_gnory_idle_whistle,Whistling,
char_vo_gnory_idle_humming,Humming,
char_vo_final_boss_p1_blue,"I'm the daughter of the Wizard!",
char_vo_final_boss_p1_green,"I can create!",
char_vo_final_boss_p1_red,"I'm human!",
char_vo_final_boss_p2_blue,"I'm the daughter of the Wizard!",
char_vo_final_boss_p2_green,"That sounds funny!",
char_vo_final_boss_p2_red_down,"I can destroy!",
char_vo_final_boss_p2_red_up,"I can create!",
char_vo_final_boss_p3_blue,"I'm free!",
char_vo_final_boss_p3_green,"That sounds funny!",
char_vo_final_boss_p3_red,"What makes you say that?",
char_vo_armourwrath_attack_clap,"I won't fail the Maker!",
char_vo_armourwrath_attack_die,"No... I'm still... perfect",
char_vo_armourwrath_attack_magic,"Resist Ruin!",
char_vo_armourwrath_attack_strike_down,"Out of my way!",
char_vo_armourwrath_attack_strike_down_2,"I am perfect",
char_vo_maintainer_elite_idle_1,"Serve...",
char_vo_maintainer_elite_idle_2,"Order...",
char_vo_supperdwarf_idle_1_eating_food_0,"Yum-yum hmmmm... delicious",
char_vo_supperdwarf_idle_1_eating_food_1,"Hmmm... tasty",
char_vo_supperdwarf_idle_1_eating_food_2,"Ehmmm... where is my spoon?",
char_vo_supperdwarf_idle_2_humming_0,"Ehemm, ehemm",
char_vo_supperdwarf_idle_2_humming_1,"Hmmm",
char_vo_supperdwarf_idle_2_humming_2,"Ohm",
char_vo_golemmaker_idle_moan_aaahhh,Aaahhh,
char_vo_golemmaker_idle_moan_ooohhh,Ooohhh,
char_vo_golemmaker_idle_sad_onon,Onon,
char_vo_flybug_damaged_1,"Careful!",
char_vo_flybug_damaged_2,"It's not funny!",
char_vo_flybug_idle_1,"What is it like down there? Heh?",
char_vo_flybug_idle_2,"Easy man, easy!",
char_vo_flybug_die_1,"All right, gg!",
