Key,SourceString,Comment
read,Read,interaction hint if the character can read a scroll or book
read_symbols,Read Symbols,
read_dictionary,Read Dictionary,
open,Open,door can be openned
door_opened,Door opened,door openned
open_door,Open Door,
close_door,Close Door,
examine,Examine,examine a statue or some other interactable object which triggers dialogue or hint message
examine_device,Examine Device,
pull,Pull,pull a lever
pull_lever,Pull Lever,
lever_is_inactive,Seems to be inactive,a lever
lever_is_active,Lever activated. The crystal broke.,
enter,Enter,teleport - enter a room or a portal
leave,Leave,"teleport - leave a room, chest, level"
leave_circle,Leave Circle,
leave_cave,Leave Cave,
leave_hut,Leave Hut,
leave_bridge,Leave Bridge,
enter_tower,Enter Tower,
enter_bridge,Enter Bridge,
enter_portal,Enter Portal,
enter_flames,Enter Flames,
enter_cave,Enter Cave,
enter_gate,Enter Gate,
enter_hut,Enter Hut,
enter_kitchen,Enter Kitchen,
enter_stairs_left,Enter Stairs on the Left,
enter_stairs_right,Enter Stairs on the Right,
enter_pipe,Enter Pipe,
cross_planks,Cross Planks,
descend,Descend,climb down a ladder or rope or go down with an elevator
ascend,Ascend,climb up a ladder or rope or go up with an elevator
take,Take,character can take an item
take_axe,Take Axe,character can take a weapon
take_sword,Take Sword,character can take a weapon
take_mace,Take Mace,character can take a weapon
take_blades,Take Blades,character can take two swords to go dual wield
take_books,Take Books,character can take (two) books
take_spellcaster,Take Spellcaster,the Spellcaster is an amulet the character can use to cast spells
take_sabre,Take Sabre,character can take a weapon
take_rope,Take Rope,
take_wheel,Take Wheel,
take_mushrooms,Take Mushrooms,
take_stones,Take Stones,
take_a_seat,Take a seat,
primary_strike,Primary Strike,hint with control key for strike 1 of the character
special_strike,Special Strike,hint with control key for strike 2 of the character
put_weapon_away,Put Weapon Away,hint with control key to show how to put the weapon away
inventory,Inventory,hint for hotkey to open the inventory
finish_demo,Finish Demo,teleport at the end of demo
chest_open,Open Chest,
chest_open_small,Open Small Chest,
chest_close,Close Chest,
chest_close_small,Close Small Chest,
chest_check,Check Chest,
chest_check_small,Check Small Chest,
door_does_not_open_from_this_side,Door does not open from this side!,message when character tries to open a door but it can only be openned from the other side
rest,Rest,rest near a checkpoint statue where character can sleep and change spells and listen to music
key_missing,Key Missing: {0},{0} is replaced with a key name
unlocked_with,Unlocked with {0},{0} is replaced with a key name
acquired_item,{0} acquired,{0} is replaced with an item name
acquired_few_item,A few items acquired,message when more than one item is received at once
aquired_silver_key,Silver Key Acquired,optional bonus message
talk,Talk,
fire,Fire,fires a cannon
push,Push,push a sphere shaped rock from the edge to break some stuff
ring_bell,Ring the bell,there is a bell the character has to use to start the conversation with a merchant
kick_rope,Kick Rope,a pile of rope can be kicked to be able to climb up/down on it
rope_kicked,Rope kicked,feedback on the kick rope action
rope_placed,Rope placed,
rope_can_be_placed,A rope could be placed here,
elevator_not_move_to_dir,The elevator does not move to the selected direction,player tries to use an elevator but the direction is not activated yet
elevator_inactive,The elevator seems to be inactive,player tries to use the elevator but it is inactive
pass_bridge,Pass Bridge,
boat_to_station,Boat to the Station,use a boat to get to the Station
boat_to_kitchen,Boat to the Kitchen,use a boat to get to the kitchen
sail,Sail,use ship for travel
boat_to_ruins,Boat to the Ruins,use a boat to get to a place where there are some ancient ruins
examine_switch,Examine Switch,it is a lightswitch
examine_elevator,Examine Elevator,
toggle_switch,Toggle Switch,it is a lightswitch
use_switch,Use switch,for the moria gate
