Key,SourceString,Comment
continue,Continue,Menu Continue
start_game,Start Game,Menu Start Game
teleport_to_sk,Teleport To SoulKeeper,Menu Teleport to Soulkeeper
teleport_to_cp,Teleport To Checkpoint,Menu Teleport To Checkpoint
saves,Save Slots,Menu saves
custom_maps,Custom Maps,Menu custom Maps
settings,Settings,Menu settings
credits,Credits,Menu credits
quit_game,Quit Game,Menu Quit Game
change_user,Change User,Change User
quit_to_menu,Quit to Menu,Menu Quit To Menu
quit_game_question,Quit Game?,Confirm Quit popup
quit_to_menu_question,Quit to Menu?,Confirm Quit popup
progress_saved,Progress will be saved,Confirm Quit popup
restart_game_question,Restart Game?,Confirm Restart popup
restart_game_warning,All progress will be lost,Confirm Restart popup
send_no,Do not Send,Analytics popup
send_automatically,Send Automatically,Analytics popup
percentage_argument,{0}%,Slider
reset_keyboard_wasd,Reset to WASD defaults,Confirm keyboard settings
reset_keyboard_arrows,Reset to Arrow defaults,Confirm keyboard settings
confirm_keyboard_settings_reset,Are you sure?,Confirm keyboard settings
key_selection_press_button,Press the button you want to assign to the action:,Select Input key
key_selection_current,Currently selected button:,Select Input key
key_selection_empty,[Empty Button],Select Input key
key_selection_press,[Press Button],Select Input key
confirm,Confirm,Confirm popup
cancel,Cancel,Confirm popup
yes,Yes,Confirm popup
no,No,Confirm popup
chapter1_completed,Chapter 1 completed. Save is Locked.,Temporary for chapter 1
difficulty_normal,Normal,
start,Start,The name of the checkpoint. Custom Map action
empty,Empty,
never_completed,Never completed,Custom Map
completed_in_time,Completed in {time},Custom Map
custom_map_x,Custom Map {0},Custom Map
unknown,UNKNOWN,Unknown input binding
input_unbound,Unbound,Unbound input
input_actions_conflicts,"Selected button = {Key}, will get unbound from the {NumActions}|plural(one=Action,other=Actions) = {ActionNames}","Input remap.  {Key} = key display name. {NumAction} the number of actions, this will determine what to choose between one and other."
input_selected_key_not_allowed,"Selected button = {Key}, is not allowed as an input option",Input remap. {Key} = key display name
input_not_allowed_thumbsticks,Not allowed to remap to thumbsticks,Input remap gamepad
