Date/Time,Word Count,en,es,fr,hu,ro,ru,uk,zh-Hans,zh-Hant
2018.07.31-17.51.31,15185,15185,0,0,0,63,0,0,0,0
2018.07.31-18.01.46,15185,15185,0,0,0,68,0,0,0,0
2018.07.31-19.26.57,15036,15036,0,0,0,872,0,0,0,0
2018.09.26-21.13.49,17669,17669,0,0,0,858,0,0,0,0
2018.09.27-00.15.07,17652,17652,0,0,0,858,0,0,0,0
2019.02.05-18.58.39,23880,23880,0,0,0,840,0,0,0,0
2019.10.14-15.01.11,33747,33747,0,0,0,743,0,0,0,0
2019.10.14-16.56.23,33505,33505,0,0,0,743,0,0,0,0
2019.10.15-14.53.38,33501,33501,0,0,0,739,0,0,0,0
2019.10.15-17.48.57,33492,33492,0,0,0,739,0,0,0,0
2019.10.17-18.01.17,33268,33268,0,0,0,739,0,0,0,0
2019.10.17-19.48.15,33238,33238,0,0,0,739,0,0,0,0
2019.10.17-20.50.34,33106,33106,0,0,0,739,0,0,0,0
2019.10.17-21.05.39,32859,32859,0,0,0,739,0,0,0,0
2019.10.20-14.19.26,30179,30179,0,0,0,79,0,0,0,0
2019.12.18-15.25.20,10638,10638,0,0,0,0,0,0,0,0
2020.01.01-10.44.35,29043,29043,0,0,0,0,0,0,0,0
2020.01.05-10.38.13,29044,29044,0,0,0,21,0,0,0,0
2020.01.05-17.51.32,11134,11134,0,0,0,0,0,0,0,0
2020.01.15-12.21.51,11136,11136,0,0,0,0,0,0,0,0
2020.01.15-12.39.12,8474,8474,0,0,0,0,0,0,0,0
2020.01.22-15.27.48,8567,8567,0,0,0,0,0,0,0,0
2020.01.22-15.28.38,8567,8567,0,0,8013,0,0,0,0,0
2020.01.22-16.06.05,8568,8568,0,0,8013,0,0,0,0,0
2020.01.22-19.01.12,8568,8568,0,0,8172,0,0,0,0,0
2020.01.25-08.56.51,8569,8569,0,0,8170,0,0,0,0,0
2020.01.25-08.58.03,8569,8569,0,0,8172,0,0,0,0,0
2020.01.25-09.08.29,8375,8375,0,0,8172,0,0,0,0,0
2020.01.25-09.17.19,8375,8375,0,0,8375,0,0,0,0,0
2020.01.25-10.30.18,8342,8342,0,0,8311,0,0,0,0,0
2020.01.25-10.31.16,8342,8342,0,0,8313,0,0,0,0,0
2020.01.25-10.42.29,8342,8342,0,0,8342,0,0,0,0,0
2020.01.27-22.18.45,8174,8174,0,0,8154,0,0,0,0,0
2020.01.27-22.19.28,8174,8174,0,0,8174,0,0,0,0,0
2020.01.28-00.51.40,8104,8104,0,0,8104,0,0,0,0,0
2020.01.28-15.02.34,8069,8069,0,0,8069,0,0,0,0,0
2020.01.28-15.32.30,8042,8042,0,0,8042,0,0,0,0,0
2020.01.28-16.12.27,7991,7991,0,0,7987,0,0,0,0,0
2020.01.28-16.13.04,7991,7991,0,0,7991,0,0,0,0,0
2020.01.28-19.06.17,7928,7928,0,0,7924,0,0,0,0,0
2020.01.28-19.06.56,7928,7928,0,0,7928,0,0,0,0,0
2020.01.28-19.54.19,7922,7922,0,0,7918,0,0,0,0,0
2020.01.28-19.54.57,7922,7922,0,0,7922,0,0,0,0,0
2020.01.29-11.21.21,7879,7879,0,0,7879,0,0,0,0,0
2020.01.29-11.29.17,7877,7877,0,0,7877,0,0,0,0,0
2020.01.29-13.02.58,7847,7847,0,0,7847,0,0,0,0,0
2020.01.29-15.21.18,7818,7818,0,0,7818,0,0,0,0,0
2020.01.29-15.29.28,7811,7811,0,0,7811,0,0,0,0,0
2020.01.29-16.09.11,7777,7777,0,0,7777,0,0,0,0,0
2020.01.29-17.40.07,7668,7668,0,0,6802,0,0,0,0,0
2020.01.29-19.06.50,7668,7668,0,0,7668,0,0,0,0,0
2020.01.29-19.26.08,7637,7637,0,0,6808,0,0,0,0,0
2020.01.29-19.26.50,7637,7637,0,0,6917,0,0,0,0,0
2020.01.29-19.37.36,7624,7624,0,0,6435,0,0,0,0,0
2020.01.29-20.03.54,7624,7624,0,0,7624,0,0,0,0,0
2020.01.30-13.26.23,7607,7607,0,0,7607,0,0,0,0,0
2020.01.30-13.32.19,7475,7475,0,0,7337,0,0,0,0,0
2020.01.30-13.32.56,7475,7475,0,0,7429,0,0,0,0,0
2020.01.30-13.36.29,7460,7460,0,0,7414,0,0,0,0,0
2020.01.30-13.37.03,7460,7460,0,0,7460,0,0,0,0,0
2020.01.30-15.28.59,7405,7405,0,0,7405,0,0,0,0,0
2020.01.30-16.19.06,7353,7353,0,0,7353,0,0,0,0,0
2020.01.30-16.28.33,7342,7342,0,0,7342,0,0,0,0,0
2020.01.30-18.09.29,7563,7563,0,0,6847,0,0,0,0,0
2020.01.30-18.10.11,7563,7563,0,0,6862,0,0,0,0,0
2020.01.30-20.29.38,7829,7829,0,0,5319,0,0,0,0,0
2020.01.30-20.30.14,7829,7829,0,0,5366,0,0,0,0,0
2020.01.30-21.24.51,7829,7829,0,0,7171,0,0,0,0,0
2020.01.30-21.35.55,7829,7829,0,0,7829,0,0,0,0,0
2020.01.31-14.32.25,7829,7829,0,0,7829,0,0,0,0,2
2020.01.31-19.00.29,7829,7829,0,0,7829,493,0,0,0,2
2020.01.31-19.14.23,7829,7829,0,0,7829,493,0,0,493,493
2020.01.31-21.19.03,7834,7834,0,0,7829,493,0,0,493,493
2020.02.01-11.38.10,7842,7842,0,0,6131,493,0,0,493,493
2020.02.01-11.38.50,7842,7842,0,0,7842,493,0,0,493,493
2020.02.01-11.48.46,7799,7799,0,0,7799,493,0,0,493,493
2020.02.01-19.22.48,6016,6016,0,0,6016,491,0,0,491,491
2020.02.01-19.29.55,7886,7886,0,0,6016,491,0,0,491,491
2020.02.01-19.38.43,7886,7886,0,0,7776,491,0,0,491,491
2020.02.01-19.48.11,7886,7886,0,0,7886,599,0,0,599,599
2020.02.02-11.01.25,7892,7892,0,0,7790,595,0,0,595,595
2020.02.02-11.07.05,7892,7892,0,0,7887,605,0,0,605,605
2020.02.02-11.48.00,7892,7892,0,0,7892,605,0,0,605,605
2020.02.02-12.35.22,7894,7894,0,0,7885,605,0,0,605,605
2020.02.02-12.43.16,7894,7894,0,0,7888,608,0,0,608,608
2020.02.02-12.48.21,7894,7894,0,0,7894,608,0,0,608,608
2020.02.02-13.20.40,7864,7864,0,0,7864,608,0,0,608,608
2020.02.02-13.45.20,7858,7858,0,0,7858,608,0,0,608,608
2020.02.03-23.22.29,7858,7858,0,0,7835,585,0,0,585,585
2020.02.03-23.23.14,7858,7858,0,0,7835,656,0,0,585,585
2020.02.03-23.30.35,7858,7858,0,0,7858,656,0,0,608,608
2020.02.04-13.13.05,7823,7823,0,0,7823,651,0,0,608,608
2020.02.04-14.16.06,7822,7822,0,0,7792,651,0,0,608,608
2020.02.04-14.16.38,7822,7822,0,0,7792,1041,0,0,608,608
2020.02.04-15.53.37,7822,7822,0,0,7517,1041,0,0,608,608
2020.02.04-15.54.13,7822,7822,0,0,7536,1227,0,0,608,608
2020.02.04-16.30.08,7822,7822,0,0,7495,1227,0,0,608,608
2020.02.04-16.30.44,7822,7822,0,0,7770,1227,0,0,608,608
2020.02.04-16.37.41,7822,7822,0,0,7811,1227,0,0,608,608
2020.02.04-16.43.48,7835,7835,0,0,7810,1227,0,0,608,608
2020.02.04-16.54.17,7818,7818,0,0,7793,1210,0,0,608,608
2020.02.04-19.26.16,7818,7818,0,0,7675,1210,0,0,608,608
2020.02.04-19.26.51,7818,7818,0,0,7675,1401,0,0,608,608
2020.02.04-20.27.08,7821,7821,0,0,7482,1401,0,0,608,608
2020.02.04-20.27.44,7821,7821,0,0,7600,1949,0,0,608,608
2020.02.04-20.52.39,7822,7822,0,0,7600,1949,0,0,608,608
2020.02.04-20.53.17,7822,7822,0,0,7774,1949,0,0,608,608
2020.02.04-20.56.45,7822,7822,0,0,7797,1949,0,0,608,608
2020.02.05-12.09.19,7823,7823,0,0,7682,1949,0,0,608,608
2020.02.05-12.09.53,7823,7823,0,0,7682,2421,0,0,608,608
2020.02.05-12.20.43,7823,7823,0,0,7755,2421,0,0,608,608
2020.02.05-14.05.57,7850,7850,0,0,7552,2421,0,0,608,608
2020.02.05-14.06.32,7850,7850,0,0,7595,3722,0,0,608,608
2020.02.05-14.13.46,7853,7853,0,0,7582,3722,0,0,608,608
2020.02.05-14.28.10,7853,7853,0,0,7803,3968,0,0,608,608
2020.02.05-18.00.01,7836,7836,0,0,7103,3966,0,0,606,606
2020.02.05-18.00.38,7836,7836,0,0,7103,4993,0,0,606,606
2020.02.05-19.07.24,7836,7836,0,0,7073,4993,0,0,606,606
2020.02.05-19.08.00,7836,7836,0,0,7693,5626,0,0,606,606
2020.02.05-19.18.59,7836,7836,0,0,7786,5719,0,0,606,606
2020.02.05-19.41.45,7836,7836,0,0,7774,5719,0,0,606,606
2020.02.06-14.13.24,7836,7836,0,0,7364,5719,0,0,606,606
2020.02.06-14.13.58,7836,7836,0,0,7364,7180,0,0,606,606
2020.02.06-14.21.00,7806,7806,0,0,7334,7180,0,0,606,606
2020.02.06-14.50.18,7808,7808,0,0,7305,7180,0,0,606,606
2020.02.06-14.50.56,7808,7808,0,0,7718,7768,0,0,606,606
2020.02.06-14.55.20,7808,7808,0,0,7758,7808,0,0,606,606
2020.02.06-18.42.51,7808,7808,0,0,7731,7781,0,0,606,606
2020.02.10-10.16.23,7808,7808,0,0,7758,7808,0,0,606,606
2020.02.17-12.09.40,7817,7817,0,0,7758,7808,0,0,606,606
2020.02.17-12.10.18,7817,7817,0,0,7808,7808,0,0,606,606
2020.02.17-12.24.53,7810,7810,0,0,7808,7808,0,0,606,606
2020.02.17-12.30.23,7808,7808,0,0,7808,7808,0,0,606,606
2020.02.27-11.25.17,7760,7760,0,0,7506,7506,0,0,606,606
2020.02.27-12.05.24,7760,7760,0,0,7760,7760,0,0,606,606
2020.03.02-13.48.22,7789,7789,0,0,7717,7717,0,0,606,606
2020.03.02-15.15.38,7789,7789,0,0,7760,7760,0,0,606,606
2020.03.05-17.27.04,7760,7760,0,0,7760,7760,0,0,606,606
2020.03.06-11.20.25,7760,7760,0,0,7094,7094,0,0,606,606
2020.03.06-12.44.21,7760,7760,0,0,7760,7760,0,0,606,606
2020.03.06-17.13.36,7759,7759,0,0,7759,7759,0,0,605,605
2020.03.10-23.21.21,7759,7759,0,0,7759,7759,7759,0,605,605
2020.03.13-09.24.15,7759,7759,0,7742,7759,7759,7759,0,605,605
2020.03.13-10.13.40,7754,7754,0,7742,7754,7754,7754,0,605,605
2020.03.13-12.03.47,7742,7742,0,7742,7742,7742,7742,0,605,605
2020.03.16-09.56.20,7762,7762,0,7742,7742,7742,7742,0,605,605
2020.03.16-09.56.54,7762,7762,7742,7742,7742,7742,7742,0,605,605
2020.03.16-10.15.28,7742,7742,7742,7742,7742,7742,7742,0,605,605
2020.03.16-10.24.24,7742,7742,7742,7742,7742,7742,7742,0,7125,7125
2020.03.27-09.51.59,8285,8285,7742,7742,7742,7742,7742,0,7125,7125
2020.03.28-08.17.39,8291,8291,7662,7662,7662,7662,7662,0,7045,7045
2020.03.28-09.49.57,8291,8291,7662,7662,7662,7662,7662,0,7070,7045
