Date/Time,Word Count,en,es,fr,hu,ro,ru,uk,zh-Hans,zh-Hant
2020.01.15-12.47.11,20348,20348,0,0,0,0,0,0,0,0
2020.01.15-12.48.47,19931,19931,0,0,0,0,0,0,0,0
2020.01.15-13.25.01,19082,19082,0,0,0,0,0,0,0,0
2020.01.15-14.00.43,19079,19079,0,0,0,0,0,0,0,0
2020.01.22-15.25.48,19063,19063,0,0,0,0,0,0,0,0
2020.01.22-15.26.42,19063,19031,0,0,0,0,0,0,0,0
2020.01.22-16.04.08,19063,19063,0,0,0,0,0,0,0,0
2020.01.23-09.58.00,15777,15777,0,0,0,0,0,0,0,0
2020.01.23-09.58.51,15777,15777,0,0,2838,0,0,0,0,0
2020.01.25-08.55.34,15777,15777,0,0,15777,0,0,0,0,0
2020.01.27-19.19.37,15773,15773,0,0,15773,0,0,0,0,0
2020.01.27-19.23.14,15764,15764,0,0,15764,0,0,0,0,0
2020.02.01-16.40.06,15638,15638,0,0,15638,0,0,0,0,0
2020.02.04-13.11.50,15592,15592,0,0,15592,0,0,0,0,0
2020.02.06-18.03.26,15592,15592,0,0,15392,0,0,0,0,0
2020.02.06-18.17.12,15592,15592,0,0,15592,0,0,0,0,0
2020.02.10-11.41.23,15588,15588,0,0,15566,0,0,0,0,0
2020.02.10-11.41.57,15588,15588,0,0,15566,1340,0,0,0,0
2020.02.10-13.54.10,15589,15589,0,0,15506,1340,0,0,0,0
2020.02.10-13.54.47,15589,15589,0,0,15506,3755,0,0,0,0
2020.02.10-14.21.34,15589,15589,0,0,15502,3751,0,0,0,0
2020.02.10-15.45.20,15586,15586,0,0,15453,3751,0,0,0,0
2020.02.10-15.45.57,15586,15586,0,0,15453,4337,0,0,0,0
2020.02.10-16.12.56,15582,15582,0,0,15449,4337,0,0,0,0
2020.02.10-16.13.31,15582,15582,0,0,15449,5073,0,0,0,0
2020.02.10-16.55.13,15585,15585,0,0,15393,5073,0,0,0,0
2020.02.10-16.55.50,15585,15585,0,0,15418,5698,0,0,0,0
2020.02.10-17.34.10,15585,15585,0,0,15382,5698,0,0,0,0
2020.02.10-17.34.49,15585,15585,0,0,15382,6406,0,0,0,0
2020.02.10-20.40.05,15582,15582,0,0,15304,6406,0,0,0,0
2020.02.10-20.40.43,15582,15582,0,0,15304,7785,0,0,0,0
2020.02.10-22.03.40,15582,15582,0,0,15286,7785,0,0,0,0
2020.02.10-22.04.19,15582,15582,0,0,15286,8387,0,0,0,0
2020.02.10-22.17.58,15582,15582,0,0,15582,8387,0,0,0,0
2020.02.11-13.52.44,15576,15576,0,0,15522,8387,0,0,0,0
2020.02.11-13.53.21,15576,15576,0,0,15522,9504,0,0,0,0
2020.02.11-14.02.29,15576,15576,0,0,15522,9555,0,0,0,0
2020.02.11-16.43.17,15578,15578,0,0,15404,9555,0,0,0,0
2020.02.11-16.43.56,15578,15578,0,0,15404,10597,0,0,0,0
2020.02.11-17.07.38,15577,15577,0,0,15391,10597,0,0,0,0
2020.02.11-17.08.17,15577,15577,0,0,15391,10640,0,0,0,0
2020.02.11-17.46.49,15569,15569,0,0,15277,10640,0,0,0,0
2020.02.11-17.47.27,15569,15569,0,0,15277,11427,0,0,0,0
2020.02.11-18.27.52,15570,15570,0,0,15263,11427,0,0,0,0
2020.02.11-18.28.32,15570,15570,0,0,15263,11533,0,0,0,0
2020.02.11-19.20.13,15571,15571,0,0,15174,11533,0,0,0,0
2020.02.11-19.20.50,15571,15571,0,0,15174,12551,0,0,0,0
2020.02.11-21.21.52,15570,15570,0,0,15120,12551,0,0,0,0
2020.02.11-21.22.27,15570,15570,0,0,15120,14291,0,0,0,0
2020.02.11-22.21.27,15570,15570,0,0,15090,14291,0,0,0,0
2020.02.11-22.22.05,15570,15570,0,0,15528,15540,0,0,0,0
2020.02.11-22.27.31,15570,15570,0,0,15558,15570,0,0,0,0
2020.02.25-18.12.56,15570,15570,0,0,15570,15570,0,0,0,0
2020.03.23-11.00.04,15584,15584,0,0,15526,15526,0,0,0,0
2020.03.23-11.00.42,15584,15584,15526,0,15526,15526,0,0,0,0
2020.03.23-12.52.30,15584,15584,15526,0,15526,15526,15526,0,0,0
2020.03.23-12.59.36,15584,15584,15526,0,15531,15531,15526,0,0,0
2020.03.25-14.32.00,15584,15584,15526,15531,15531,15531,15531,0,0,0
2020.03.28-08.15.16,15592,15592,15286,15291,15291,15291,15291,0,0,0
2020.03.28-08.25.44,15592,15592,15282,15287,15287,15287,15287,0,0,0
2020.03.30-13.38.13,15592,15592,15592,15592,15287,15287,15592,0,0,0
2020.04.02-12.18.52,15592,15592,15592,15592,15287,15287,15592,0,11151,0
2020.04.02-14.54.15,15592,15592,15592,15592,15287,15592,15592,0,11151,0
2020.04.07-18.25.59,15592,15592,15592,15592,15287,15592,15592,0,15584,0
2020.04.17-14.38.12,15591,15591,15541,15541,15236,15541,15541,0,15533,0
2020.04.19-22.12.59,15590,15590,15527,15527,15236,15527,15527,0,15519,0
2020.04.20-13.28.35,15590,15590,15527,15527,15590,15527,15527,0,15519,0
2020.04.21-20.01.25,15590,15590,15590,15527,15590,15527,15590,0,15519,0
2020.04.21-20.09.18,15590,15590,15590,15527,15590,15527,15590,0,15590,15590
2020.04.23-12.15.45,15590,15590,15590,15527,15590,15590,15590,0,15590,15590
2020.04.24-09.39.21,15590,15590,15590,15590,15590,15590,15590,0,15590,15590
2020.05.01-21.22.08,15590,15590,15585,15585,15585,15585,15585,0,15585,15585
2020.05.01-21.22.48,15590,15590,15590,15590,15590,15590,15590,0,15590,15590
